"","date_time","vwc10cm","vwc20","vwc35","vwc50"
"144","28.06.2010 13:00",0.28,0.357,0.339,0.318
"145","28.06.2010 14:00",0.279,0.357,0.339,0.318
"146","28.06.2010 15:00",0.28,0.357,0.339,0.319
"147","28.06.2010 16:00",0.279,0.357,0.339,0.318
"148","28.06.2010 17:00",0.279,0.356,0.34,0.317
"149","28.06.2010 18:00",0.278,0.356,0.34,0.316
"150","28.06.2010 19:00",0.278,0.356,0.34,0.315
"151","28.06.2010 20:00",0.278,0.356,0.34,0.313
"152","28.06.2010 21:00",0.277,0.356,0.34,0.312
"153","28.06.2010 22:00",0.277,0.356,0.34,0.311
"154","28.06.2010 23:00",0.277,0.356,0.34,0.31
"155","29.06.2010 00:00",0.276,0.356,0.34,0.31
"156","29.06.2010 01:00",0.276,0.356,0.34,0.309
"157","29.06.2010 02:00",0.276,0.356,0.34,0.308
"158","29.06.2010 03:00",0.276,0.356,0.339,0.308
"159","29.06.2010 04:00",0.275,0.356,0.339,0.307
"160","29.06.2010 05:00",0.275,0.356,0.339,0.306
"161","29.06.2010 06:00",0.275,0.356,0.339,0.306
"162","29.06.2010 07:00",0.275,0.356,0.338,0.305
"163","29.06.2010 08:00",0.275,0.356,0.338,0.304
"164","29.06.2010 09:00",0.275,0.356,0.338,0.304
"165","29.06.2010 10:00",0.274,0.355,0.338,0.303
"166","29.06.2010 11:00",0.274,0.355,0.337,0.303
"167","29.06.2010 12:00",0.274,0.352,0.337,0.303
"168","29.06.2010 13:00",0.273,0.348,0.337,0.304
"169","29.06.2010 14:00",0.273,0.348,0.337,0.304
"170","29.06.2010 15:00",0.272,0.348,0.337,0.305
"171","29.06.2010 16:00",0.271,0.348,0.337,0.304
"172","29.06.2010 17:00",0.271,0.348,0.337,0.305
"173","29.06.2010 18:00",0.271,0.348,0.337,0.303
"174","29.06.2010 19:00",0.27,0.348,0.337,0.302
"175","29.06.2010 20:00",0.27,0.348,0.337,0.301
"176","29.06.2010 21:00",0.27,0.348,0.338,0.3
"177","29.06.2010 22:00",0.27,0.349,0.338,0.299
"178","29.06.2010 23:00",0.269,0.35,0.338,0.298
"179","30.06.2010 00:00",0.27,0.35,0.338,0.297
"180","30.06.2010 01:00",0.269,0.35,0.337,0.296
"181","30.06.2010 02:00",0.269,0.35,0.338,0.295
"182","30.06.2010 03:00",0.269,0.35,0.337,0.294
"183","30.06.2010 04:00",0.269,0.35,0.337,0.294
"184","30.06.2010 05:00",0.269,0.35,0.337,0.293
"185","30.06.2010 06:00",0.269,0.35,0.337,0.293
"186","30.06.2010 07:00",0.269,0.351,0.336,0.293
"187","30.06.2010 08:00",0.269,0.351,0.336,0.292
"188","30.06.2010 09:00",0.269,0.35,0.336,0.292
"189","30.06.2010 10:00",0.269,0.35,0.336,0.291
"190","30.06.2010 11:00",0.269,0.35,0.335,0.291
"191","30.06.2010 12:00",0.268,0.35,0.335,0.29
"192","30.06.2010 13:00",0.269,0.35,0.335,0.291
"193","30.06.2010 14:00",0.268,0.35,0.335,0.291
"194","30.06.2010 15:00",0.268,0.35,0.335,0.291
"195","30.06.2010 16:00",0.268,0.35,0.335,0.29
"196","30.06.2010 17:00",0.268,0.349,0.335,0.29
"197","30.06.2010 18:00",0.268,0.349,0.335,0.289
"198","30.06.2010 19:00",0.267,0.349,0.335,0.287
"199","30.06.2010 20:00",0.267,0.349,0.335,0.285
"200","30.06.2010 21:00",0.267,0.349,0.335,0.283
"201","30.06.2010 22:00",0.267,0.349,0.335,0.281
"202","30.06.2010 23:00",0.266,0.349,0.335,0.28
"203","01.07.2010 00:00",0.266,0.349,0.335,0.279
"204","01.07.2010 01:00",0.267,0.349,0.334,0.277
"205","01.07.2010 02:00",0.266,0.349,0.334,0.277
"206","01.07.2010 03:00",0.266,0.349,0.334,0.275
"207","01.07.2010 04:00",0.266,0.349,0.334,0.275
"208","01.07.2010 05:00",0.266,0.349,0.334,0.274
"209","01.07.2010 06:00",0.266,0.348,0.334,0.273
"210","01.07.2010 07:00",0.266,0.349,0.334,0.271
"211","01.07.2010 08:00",0.266,0.349,0.333,0.272
"212","01.07.2010 09:00",0.266,0.348,0.333,0.271
"213","01.07.2010 10:00",0.266,0.348,0.333,0.27
"214","01.07.2010 11:00",0.265,0.348,0.333,0.27
"215","01.07.2010 12:00",0.266,0.348,0.332,0.27
"216","01.07.2010 13:00",0.265,0.348,0.332,0.27
"217","01.07.2010 14:00",0.277,0.35,0.336,0.281
"218","01.07.2010 15:00",0.368,0.37,0.366,0.371
"219","01.07.2010 16:00",0.362,0.375,0.351,0.372
"220","01.07.2010 17:00",0.331,0.368,0.351,0.368
"221","01.07.2010 18:00",0.316,0.365,0.351,0.365
"222","01.07.2010 19:00",0.31,0.363,0.35,0.364
"223","01.07.2010 20:00",0.304,0.363,0.349,0.363
"224","01.07.2010 21:00",0.302,0.362,0.348,0.362
"225","01.07.2010 22:00",0.3,0.362,0.347,0.361
"226","01.07.2010 23:00",0.298,0.361,0.347,0.357
"227","02.07.2010 00:00",0.297,0.361,0.346,0.343
"228","02.07.2010 01:00",0.295,0.36,0.346,0.339
"229","02.07.2010 02:00",0.292,0.36,0.345,0.336
"230","02.07.2010 03:00",0.29,0.358,0.345,0.334
"231","02.07.2010 04:00",0.289,0.357,0.344,0.331
"232","02.07.2010 05:00",0.289,0.357,0.344,0.33
"233","02.07.2010 06:00",0.289,0.357,0.344,0.328
"234","02.07.2010 07:00",0.288,0.356,0.344,0.327
"235","02.07.2010 08:00",0.287,0.355,0.344,0.326
"236","02.07.2010 09:00",0.287,0.354,0.343,0.325
"237","02.07.2010 10:00",0.287,0.355,0.343,0.324
"238","02.07.2010 11:00",0.285,0.354,0.343,0.323
"239","02.07.2010 12:00",0.285,0.354,0.343,0.324
"240","02.07.2010 13:00",0.283,0.35,0.343,0.323
"241","02.07.2010 14:00",0.283,0.351,0.342,0.322
"242","02.07.2010 15:00",0.283,0.35,0.342,0.322
"243","02.07.2010 16:00",0.282,0.351,0.342,0.321
"244","02.07.2010 17:00",0.282,0.35,0.343,0.319
"245","02.07.2010 18:00",0.282,0.35,0.342,0.319
"246","02.07.2010 19:00",0.281,0.349,0.343,0.318
"247","02.07.2010 20:00",0.281,0.349,0.343,0.316
